pid, used_gpu_memory [MiB]
193752, 1920 MiB
193752, 1650 MiB
193752, 1920 MiB
193752, 1772 MiB
193752, 1920 MiB
193752, 1774 MiB
193752, 1920 MiB
193752, 1774 MiB
193752, 1918 MiB
193752, 1658 MiB
193752, 1920 MiB
193752, 1920 MiB
193752, 1920 MiB
193752, 1920 MiB
193752, 1920 MiB
193752, 1660 MiB
193752, 1920 MiB
193752, 1920 MiB
193752, 1762 MiB
193752, 1792 MiB
193752, 1920 MiB
193752, 1920 MiB
193752, 1920 MiB
193752, 1920 MiB
193752, 1920 MiB
193752, 1904 MiB
193752, 1920 MiB
193752, 1920 MiB
193752, 1662 MiB
193752, 1920 MiB
193752, 1918 MiB
193752, 1920 MiB
193752, 1920 MiB
193752, 1772 MiB
193752, 1920 MiB
193752, 1646 MiB
193752, 1656 MiB
193752, 1920 MiB
193752, 1920 MiB
193752, 1920 MiB
193752, 1920 MiB
193752, 1920 MiB
193752, 1764 MiB
193752, 1920 MiB
193752, 1904 MiB
193752, 1920 MiB
193752, 1654 MiB
193752, 1916 MiB
193752, 1920 MiB
193752, 1664 MiB
193752, 1920 MiB
193752, 1906 MiB
193752, 1920 MiB
193752, 1920 MiB
193752, 1920 MiB
193752, 1918 MiB
193752, 1920 MiB
193752, 1920 MiB
193752, 1920 MiB
193752, 1920 MiB
193752, 1920 MiB
193752, 1920 MiB
193752, 1920 MiB
193752, 1920 MiB
193752, 1920 MiB
193752, 1920 MiB
193752, 1764 MiB
193752, 1920 MiB
193752, 1920 MiB
193752, 1896 MiB
193752, 1920 MiB
193752, 1918 MiB
193752, 1920 MiB
193752, 1920 MiB
193752, 1916 MiB
193752, 1920 MiB
193752, 1918 MiB
193752, 1920 MiB
193752, 1660 MiB
193752, 1652 MiB
193752, 1656 MiB
193752, 1920 MiB
193752, 1920 MiB
193752, 1914 MiB
193752, 1920 MiB
193752, 1912 MiB
193752, 1920 MiB
193752, 1660 MiB
193752, 1920 MiB
193752, 1920 MiB
193752, 1902 MiB
193752, 1762 MiB
193752, 1920 MiB
193752, 1920 MiB
193752, 1920 MiB
193752, 1920 MiB
193752, 1920 MiB
193752, 1920 MiB
193752, 1638 MiB
193752, 1772 MiB
193752, 1920 MiB
193752, 1920 MiB
193752, 1920 MiB
193752, 1664 MiB
193752, 1904 MiB
193752, 1770 MiB
193752, 1918 MiB
193752, 1918 MiB
193752, 1916 MiB
193752, 1644 MiB
193752, 1920 MiB
193752, 1920 MiB
193752, 1920 MiB
193752, 1650 MiB
193752, 1920 MiB
193752, 1920 MiB
193752, 1766 MiB
193752, 1918 MiB
193752, 1662 MiB
193752, 1920 MiB
193752, 1664 MiB
193752, 1664 MiB
193752, 1916 MiB
193752, 1916 MiB
193752, 1920 MiB
193752, 1920 MiB
193752, 1920 MiB
193752, 1920 MiB
193752, 1664 MiB
193752, 1658 MiB
193752, 1920 MiB
193752, 1920 MiB
193752, 1920 MiB
193752, 1664 MiB
193752, 1910 MiB
193752, 1908 MiB
193752, 1920 MiB
193752, 1920 MiB
193752, 1918 MiB
193752, 1660 MiB
193752, 1766 MiB
193752, 1920 MiB
193752, 1920 MiB
193752, 1658 MiB
193752, 1658 MiB
193752, 1920 MiB
193752, 1912 MiB
193752, 1920 MiB
193752, 1774 MiB
193752, 1770 MiB
193752, 1920 MiB
193752, 1920 MiB
193752, 1920 MiB
193752, 1920 MiB
193752, 1660 MiB
193752, 1916 MiB
193752, 1664 MiB
193752, 1920 MiB
193752, 1920 MiB
193752, 1920 MiB
193752, 1920 MiB
193752, 1920 MiB
193752, 1918 MiB
193752, 1920 MiB
193752, 1640 MiB
193752, 1900 MiB
193752, 1898 MiB
193752, 1906 MiB
193752, 1920 MiB
193752, 1900 MiB
193752, 1920 MiB
193752, 1902 MiB
193752, 1792 MiB
193752, 1914 MiB
193752, 1902 MiB
193752, 1920 MiB
193752, 1904 MiB
193752, 1658 MiB
193752, 1902 MiB
193752, 1920 MiB
193752, 1902 MiB
193752, 1920 MiB
193752, 1920 MiB
193752, 1908 MiB
193752, 1920 MiB
193752, 1920 MiB
193752, 1920 MiB
193752, 1920 MiB
193752, 1776 MiB
193752, 1920 MiB
193752, 1920 MiB
193752, 1920 MiB
193752, 1906 MiB
193752, 1658 MiB
193752, 1912 MiB
193752, 1914 MiB
193752, 1920 MiB
193752, 1920 MiB
193752, 1916 MiB
193752, 1920 MiB
193752, 1920 MiB
193752, 1920 MiB
193752, 1920 MiB
193752, 1920 MiB
193752, 1914 MiB
193752, 1920 MiB
193752, 1920 MiB
193752, 1920 MiB
193752, 1920 MiB
193752, 1920 MiB
193752, 1654 MiB
193752, 1920 MiB
193752, 1920 MiB
193752, 1920 MiB
193752, 1920 MiB
193752, 1764 MiB
193752, 1660 MiB
193752, 1920 MiB
193752, 1910 MiB
193752, 1920 MiB
193752, 1662 MiB
193752, 1920 MiB
193752, 1900 MiB
193752, 1660 MiB
193752, 1920 MiB
193752, 1656 MiB
193752, 1920 MiB
193752, 1920 MiB
193752, 1660 MiB
193752, 1920 MiB
193752, 1920 MiB
193752, 1642 MiB
193752, 1792 MiB
193752, 1920 MiB
193752, 1920 MiB
193752, 1920 MiB
193752, 1920 MiB
193752, 1916 MiB
193752, 1904 MiB
193752, 1920 MiB
193752, 1762 MiB
193752, 1648 MiB
193752, 1920 MiB
193752, 1920 MiB
193752, 1910 MiB
193752, 1920 MiB
193752, 1920 MiB
193752, 1920 MiB
193752, 1920 MiB
193752, 1900 MiB
193752, 1906 MiB
193752, 1918 MiB
193752, 1914 MiB
193752, 1900 MiB
193752, 1776 MiB
193752, 1920 MiB
193752, 1902 MiB
193752, 1920 MiB
193752, 1920 MiB
193752, 1918 MiB
193752, 1906 MiB
193752, 1900 MiB
193752, 1664 MiB
193752, 1920 MiB
193752, 1766 MiB
193752, 1920 MiB
193752, 1920 MiB
193752, 1920 MiB
193752, 1918 MiB
193752, 1920 MiB
193752, 1658 MiB
193752, 1914 MiB
193752, 1920 MiB
193752, 1918 MiB
193752, 1920 MiB
193752, 1920 MiB
193752, 1920 MiB
193752, 1920 MiB
193752, 1916 MiB
193752, 1920 MiB
193752, 1920 MiB
193752, 1920 MiB
193752, 1646 MiB
193752, 1920 MiB
193752, 1920 MiB
193752, 1920 MiB
193752, 1920 MiB
193752, 1920 MiB
193752, 1766 MiB
193752, 1920 MiB
193752, 1916 MiB
193752, 1904 MiB
193752, 1792 MiB
193752, 1898 MiB
193752, 1664 MiB
193752, 1920 MiB
193752, 1920 MiB
193752, 1920 MiB
193752, 1652 MiB
193752, 1918 MiB
193752, 1664 MiB
193752, 1904 MiB
193752, 1920 MiB
193752, 1904 MiB
193752, 1920 MiB
193752, 1920 MiB
193752, 1920 MiB
193752, 1920 MiB
193752, 1646 MiB
193752, 1920 MiB
193752, 1920 MiB
193752, 1770 MiB
193752, 1902 MiB
193752, 1768 MiB
193752, 1920 MiB
193752, 1918 MiB
193752, 1920 MiB
193752, 1920 MiB
193752, 1920 MiB
193752, 1900 MiB
193752, 1920 MiB
193752, 1920 MiB
193752, 1920 MiB
193752, 1920 MiB
193752, 1644 MiB
193752, 1664 MiB
193752, 1920 MiB
193752, 1904 MiB
193752, 1920 MiB
193752, 1920 MiB
193752, 1920 MiB
193752, 1906 MiB
193752, 1920 MiB
193752, 1920 MiB
193752, 1920 MiB
193752, 1920 MiB
193752, 1658 MiB
193752, 1768 MiB
193752, 1920 MiB
193752, 1920 MiB
193752, 1660 MiB
193752, 1920 MiB
193752, 1918 MiB
193752, 1906 MiB
193752, 1920 MiB
193752, 1920 MiB
193752, 1920 MiB
193752, 1900 MiB
193752, 1770 MiB
193752, 1916 MiB
193752, 1902 MiB
193752, 1660 MiB
193752, 1920 MiB
193752, 1920 MiB
193752, 1654 MiB
193752, 1920 MiB
193752, 1792 MiB
193752, 1920 MiB
193752, 1908 MiB
193752, 1916 MiB
193752, 1900 MiB
193752, 1900 MiB
193752, 1758 MiB
193752, 1900 MiB
193752, 1920 MiB
193752, 1920 MiB
193752, 1920 MiB
193752, 1918 MiB
193752, 1920 MiB
193752, 1664 MiB
193752, 1920 MiB
193752, 1920 MiB
193752, 1920 MiB
193752, 1664 MiB
193752, 1920 MiB
193752, 1920 MiB
193752, 1920 MiB
193752, 1920 MiB
193752, 1920 MiB
193752, 1920 MiB
193752, 1920 MiB
193752, 1902 MiB
193752, 1920 MiB
193752, 1918 MiB
193752, 1648 MiB
193752, 1920 MiB
193752, 1920 MiB
193752, 1762 MiB
193752, 1920 MiB
193752, 1920 MiB
193752, 1920 MiB
193752, 1920 MiB
193752, 1920 MiB
193752, 1920 MiB
193752, 1920 MiB
193752, 1920 MiB
193752, 1656 MiB
193752, 1918 MiB
193752, 1898 MiB
193752, 1920 MiB
193752, 1920 MiB
193752, 1920 MiB
193752, 1776 MiB
193752, 1920 MiB
193752, 1920 MiB
193752, 1660 MiB
193752, 1920 MiB
193752, 1920 MiB
193752, 1920 MiB
193752, 1920 MiB
193752, 1920 MiB
193752, 1920 MiB
193752, 1764 MiB
193752, 1920 MiB
193752, 1920 MiB
193752, 1776 MiB
193752, 1920 MiB
193752, 1920 MiB
193752, 1920 MiB
193752, 1920 MiB
193752, 1904 MiB
193752, 1658 MiB
193752, 1658 MiB
193752, 1918 MiB
193752, 1920 MiB
193752, 1920 MiB
193752, 1920 MiB
193752, 1920 MiB
193752, 1660 MiB
193752, 1920 MiB
193752, 1920 MiB
193752, 1920 MiB
193752, 1920 MiB
193752, 1914 MiB
193752, 1662 MiB
193752, 1908 MiB
193752, 1920 MiB
193752, 1920 MiB
193752, 1920 MiB
193752, 1920 MiB
193752, 1920 MiB
193752, 1920 MiB
193752, 1920 MiB
193752, 1920 MiB
193752, 1920 MiB
193752, 1658 MiB
193752, 1902 MiB
193752, 1664 MiB
193752, 1664 MiB
193752, 1920 MiB
193752, 1920 MiB
193752, 1772 MiB
193752, 1920 MiB
193752, 1920 MiB
193752, 1920 MiB
193752, 1920 MiB
193752, 1920 MiB
193752, 1900 MiB
193752, 1920 MiB
193752, 1920 MiB
193752, 1760 MiB
193752, 1920 MiB
193752, 1920 MiB
193752, 1920 MiB
193752, 1920 MiB
193752, 1920 MiB
193752, 1920 MiB
193752, 1920 MiB
193752, 1916 MiB
193752, 1920 MiB
193752, 1774 MiB
193752, 1920 MiB
193752, 1658 MiB
193752, 1920 MiB
193752, 1916 MiB
193752, 1920 MiB
193752, 1904 MiB
193752, 1920 MiB
193752, 1920 MiB
193752, 1920 MiB
193752, 1920 MiB
193752, 1920 MiB
193752, 1920 MiB
193752, 1920 MiB
193752, 1920 MiB
193752, 1920 MiB
193752, 1634 MiB
193752, 1664 MiB
193752, 1660 MiB
193752, 1920 MiB
193752, 1764 MiB
193752, 1774 MiB
193752, 1648 MiB
193752, 1920 MiB
193752, 1920 MiB
193752, 1656 MiB
193752, 1912 MiB
193752, 1920 MiB
193752, 1774 MiB
193752, 1916 MiB
193752, 1920 MiB
193752, 1920 MiB
193752, 1920 MiB
193752, 1920 MiB
193752, 1920 MiB
193752, 1920 MiB
193752, 1920 MiB
193752, 1920 MiB
193752, 1908 MiB
193752, 1648 MiB
193752, 1762 MiB
193752, 1920 MiB
193752, 1658 MiB
193752, 1920 MiB
193752, 1654 MiB
193752, 1920 MiB
193752, 1664 MiB
193752, 1920 MiB
193752, 1902 MiB
193752, 1920 MiB
193752, 1920 MiB
193752, 1640 MiB
193752, 1662 MiB
193752, 1916 MiB
193752, 1792 MiB
193752, 1656 MiB
193752, 1916 MiB
193752, 1774 MiB
193752, 1920 MiB
193752, 1920 MiB
193752, 1660 MiB
193752, 1918 MiB
193752, 1920 MiB
193752, 1920 MiB
193752, 1916 MiB
193752, 1760 MiB
193752, 1920 MiB
193752, 1766 MiB
193752, 1920 MiB
193752, 1918 MiB
193752, 1920 MiB
193752, 1898 MiB
193752, 1906 MiB
193752, 1920 MiB
193752, 1664 MiB
193752, 1920 MiB
193752, 1920 MiB
193752, 1920 MiB
193752, 1910 MiB
193752, 1656 MiB
193752, 1664 MiB
193752, 1920 MiB
193752, 1774 MiB
193752, 1920 MiB
193752, 1904 MiB
193752, 1900 MiB
193752, 1900 MiB
193752, 1656 MiB
193752, 1920 MiB
193752, 1920 MiB
193752, 1764 MiB
193752, 1792 MiB
193752, 1920 MiB
193752, 1920 MiB
193752, 1920 MiB
193752, 1920 MiB
193752, 1792 MiB
193752, 1920 MiB
193752, 1916 MiB
193752, 1920 MiB
193752, 1658 MiB
193752, 1920 MiB
193752, 1920 MiB
193752, 1920 MiB
193752, 1920 MiB
193752, 1920 MiB
193752, 1920 MiB
193752, 1920 MiB
193752, 1920 MiB
193752, 1664 MiB
193752, 1772 MiB
193752, 1912 MiB
193752, 1908 MiB
193752, 1920 MiB
193752, 1760 MiB
193752, 1920 MiB
193752, 1920 MiB
193752, 1920 MiB
193752, 1920 MiB
193752, 1778 MiB
193752, 1920 MiB
193752, 1920 MiB
193752, 1910 MiB
193752, 1916 MiB
193752, 1900 MiB
193752, 1920 MiB
193752, 1920 MiB
193752, 1920 MiB
193752, 1920 MiB
193752, 1642 MiB
193752, 1920 MiB
193752, 1900 MiB
193752, 1910 MiB
193752, 1904 MiB
193752, 1920 MiB
193752, 1920 MiB
193752, 1916 MiB
193752, 1918 MiB
193752, 1920 MiB
193752, 1764 MiB
193752, 1920 MiB
193752, 1920 MiB
193752, 1774 MiB
193752, 1920 MiB
193752, 1658 MiB
193752, 1906 MiB
193752, 1920 MiB
193752, 1918 MiB
193752, 1774 MiB
193752, 1920 MiB
193752, 1920 MiB
193752, 1920 MiB
193752, 1664 MiB
193752, 1656 MiB
193752, 1920 MiB
193752, 1920 MiB
193752, 1662 MiB
193752, 1920 MiB
193752, 1908 MiB
193752, 1920 MiB
193752, 1910 MiB
193752, 1920 MiB
193752, 1920 MiB
193752, 1764 MiB
193752, 1662 MiB
193752, 1652 MiB
193752, 1904 MiB
193752, 1920 MiB
193752, 1776 MiB
193752, 1920 MiB
193752, 1912 MiB
193752, 1658 MiB
193752, 1920 MiB
193752, 1920 MiB
193752, 1908 MiB
193752, 1650 MiB
193752, 1920 MiB
193752, 1920 MiB
193752, 1660 MiB
193752, 1920 MiB
193752, 1920 MiB
193752, 1920 MiB
193752, 1920 MiB
193752, 1792 MiB
193752, 1774 MiB
193752, 1920 MiB
193752, 1778 MiB
193752, 1910 MiB
193752, 1766 MiB
193752, 1920 MiB
193752, 1920 MiB
193752, 1904 MiB
193752, 1920 MiB
193752, 1920 MiB
193752, 1920 MiB
193752, 1654 MiB
193752, 1902 MiB
193752, 1646 MiB
193752, 1772 MiB
193752, 1920 MiB
193752, 1920 MiB
193752, 1920 MiB
193752, 1920 MiB
193752, 1920 MiB
193752, 1920 MiB
193752, 1920 MiB
193752, 1904 MiB
193752, 1920 MiB
193752, 1908 MiB
193752, 1920 MiB
193752, 1920 MiB
193752, 1920 MiB
193752, 1920 MiB
193752, 1766 MiB
193752, 1920 MiB
193752, 1920 MiB
193752, 1918 MiB
193752, 1920 MiB
193752, 1920 MiB
193752, 1904 MiB
193752, 1920 MiB
193752, 1920 MiB
193752, 1660 MiB
193752, 1916 MiB
193752, 1920 MiB
193752, 1658 MiB
193752, 1906 MiB
193752, 1920 MiB
193752, 1920 MiB
193752, 1774 MiB
193752, 1792 MiB
193752, 1920 MiB
193752, 1920 MiB
193752, 1920 MiB
193752, 1792 MiB
